ch100 L  45 | 人是活的 | 说话人≈ | "漕运司的灯查不到我，我自己查。"沈广农说，"名单在我手里，总漕册我可以自己找。扬州漕运司的库房，锁换了，可锁是死的，人是活的——总有开锁的人。"
ch138 L  55 | 算得清 | 说话人≈ | "但算得清楚。"沈广农说。
ch139 L   7 | 账是活的 | 说话人≈ | 他一边走，一边把账在心里过了一遍。名单上的二十三个名字，他核完了；可名单核完了，账没有完。名单是死的，账是活的——名单上的名字会核完，账会一直走下去，走到他看不见的地方，还在走。他不知道自己这一趟，是
ch139 L   7 | 账是活的 | 说话人≈ | 他一边走，一边把账在心里过了一遍。名单上的二十三个名字，他核完了；可名单核完了，账没有完。名单是死的，账是活的——名单上的名字会核完，账会一直走下去，走到他看不见的地方，还在走。他不知道自己这一趟，是
ch146 L  31 | 账是死的 | 说话人≈ | 沈广农把信看了两遍。严平的字一向省墨，能写一行，不写两行。可这两行字，他读出了分量——账是死的，人是活的。严平把死的给他，把活的留给了自己。
ch146 L  31 | 人是活的 | 说话人≈ | 沈广农把信看了两遍。严平的字一向省墨，能写一行，不写两行。可这两行字，他读出了分量——账是死的，人是活的。严平把死的给他，把活的留给了自己。
ch149 L  89 | 死人不会说话 | 说话人≈ | “打一场仗，让他们死在阵上。”宁红叶的声音更低了，“仗是真的打，圈是真的画，抚恤真的有人领。一仗打完，那支人马干干净净地没了——谁也不能顺着那些名字往回查，因为查到的都是死人，死人不会说话。”
ch152 L  31 | 人是活的 | 说话人≈ | 元载没有驳他，只问了一句：“老大人说的是兵，本相说的是城。城是死的，人是活的——老大人七十岁，可愿意拿自己的命，换洛阳一座死城？”
ch161 L 117 | 算得清 | 说话人≈ | 窗外，长安的夜已经深了。他站起来，走到窗前，看着城里的灯火。他忽然想，这满城的灯，一盏一盏，都照着册子上的一个名字；可名字底下的活人，他一个都没见过。他建天衡的时候，以为把天下写进册子，就是看见了天下
ch167 L  35 | 路是死的 | 说话人≈ | “仗打完了，情还在。”崔玉真放下茶碗，声音不高不低，“粮道的帖子撤了，可人还在。转运司减的是船，减不掉的是这三年走出来的路。路是死的，人是活的。河东缺粮的那几年，是崔氏的船一趟一趟喂过来的；如今河东要
ch167 L  35 | 人是活的 | 说话人≈ | “仗打完了，情还在。”崔玉真放下茶碗，声音不高不低，“粮道的帖子撤了，可人还在。转运司减的是船，减不掉的是这三年走出来的路。路是死的，人是活的。河东缺粮的那几年，是崔氏的船一趟一趟喂过来的；如今河东要
ch171 L  95 | 人记账 | 说话人≈ | 他知道了：坊正报了。他的行踪，已经报到总署。从今天起，他在长安的每一次走动，都会有人记账——他住哪儿，去哪儿，见谁，都会顺着那本册子，报到该报的人手里。
ch176 L  79 | 算得清 | 说话人≈ | 裴弘度忽然觉得，他这一辈子，算得清天下所有的账，唯独算不清自己女儿这一步。
ch176 L  79 | 算不清 | 说话人≈ | 裴弘度忽然觉得，他这一辈子，算得清天下所有的账，唯独算不清自己女儿这一步。
ch184 L   9 | 算不清 | 说话人≈ | 沈广农听到这个消息的时候，正在华州城外的一家车马店里。他是跟着逃难的人流一路东行的，走走停停，走了大半个月，走到华州。他在车马店里帮人算账换口饭吃——店主是个老头，认得几个字，算不清数，见他打了一回算
ch191 L  35 | 算不清 | 说话人≈ | “他不知道我要拿它做什么。”宁红叶说，“他只知道，东西得在认得它的人手里。我认了它十九年，认得它的重量，认得它的缺口，可我算不清它。你认得账——我替我爹把它记完这句话，我说不出口。记完的人，得是你。”
ch193 L  81 | 账是活的 | 说话人≈ | 他见过用这些册子的人：差役用它改籍，主事用它核销，分署用它报数。可造出这种记法的人，他没见过。他从前以为，册上的数钉在纸上，改不了，只要有人把数算平，账就算清了。如今他明白，账是活的，记法是死的——记
ch193 L  81 | 账是活的 | 说话人≈ | 他见过用这些册子的人：差役用它改籍，主事用它核销，分署用它报数。可造出这种记法的人，他没见过。他从前以为，册上的数钉在纸上，改不了，只要有人把数算平，账就算清了。如今他明白，账是活的，记法是死的——记
ch203 L  73 | 算得清 | 说话人≈ | “看天的，造了‘册’。”老人说，“他们把天下的东西，一件一件记进册子里：有多少田，有多少粮，有多少人，有多少兵。他们以为，把天下记全了，就能算得清天下。”
ch203 L 145 | 算不清 | 说话人≈ | “记了天下。”老人说，“记了天下所有算不清的账。”
ch204 L  41 | 算得清 | 说话人≈ | “记的是看人的那户，看了一百年的东西。”楚归藏说，“不是账，不是名，是‘相’——人的相。什么人会做什么事，什么事会养出什么人。沈渊把这一百年看出来的东西，都写进去了。他说，这本册子，交给看天的那户，是
ch208 L 121 | 算得清 | 说话人≈ | “你教我十年对账，”她说，“你教我的不是算账，是认人。你教我认得出哪页档是真的，哪页是抄的，哪页是添的。我学了十年，才学明白一件事：我爹的账，算得清天下，算不清我。”
ch208 L 121 | 算不清 | 说话人≈ | “你教我十年对账，”她说，“你教我的不是算账，是认人。你教我认得出哪页档是真的，哪页是抄的，哪页是添的。我学了十年，才学明白一件事：我爹的账，算得清天下，算不清我。”
